# Phase 15 -- the `_FixedRule` / `_Adjustment` labels. 260 of them, 471 uses.
#
# These were kept in Spanish through the whole rename on purpose: they are the
# strings the PTCG_DEBUG trace prints and the write-ups quote. The project is
# read by English speakers now, so they move too -- and the mentions in the
# tests and docs move with them, which is the part that would otherwise rot.
#
# Left as they are because they already read as English: anti_ex, anti_muro,
# base, rush, tier_ko, win_via_bench, dodge_redirect, bonus_matchup,
# engine_pivot_turn, boss_deny_evo, xerosic_alakazam, xerosic_generico, fb_*.
acelerador_syrup	syrup_accelerator
cadena_chikorita_completa	full_chikorita_chain
cargar_banca_vs_crustle	charge_the_bench_vs_crustle
cavar_energia_belief	dig_energy_by_belief
cede_a_boss_ejecutable	yields_to_executable_boss
cede_a_dipplin_prioritario	yields_to_priority_dipplin
cede_a_lillie_mano_rival_corta	yields_to_lillie_short_opponent_hand
cede_a_lillie_sin_ataque	yields_to_lillie_no_attack
cede_a_meowth_develop	yields_to_meowth_develop
cede_a_meowth_refresco	yields_to_meowth_refresh
cede_a_pesca_de_remate	yields_to_finisher_fishing
cede_a_unfair_stamp	yields_to_unfair_stamp
cede_el_orden_a_xerosic	yields_the_order_to_xerosic
chikorita_en_campo	chikorita_on_field
chikorita_en_mano_con_forest	chikorita_in_hand_with_forest
chikorita_en_mano	chikorita_in_hand
chikorita_evolucionable	chikorita_evolvable
clamp_ex_muerto_vs_crustle	clamp_dead_ex_vs_crustle
combo_applin_hydra_en_mano	applin_hydra_combo_in_hand
combo_chikorita_meganium_en_mano	chikorita_meganium_combo_in_hand
comfey_mano_corta	comfey_short_hand
con_applin_en_mano	with_applin_in_hand
con_bayleef_en_mano	with_bayleef_in_hand
con_chikorita_en_mano	with_chikorita_in_hand
con_dipplin_en_mano	with_dipplin_in_hand
con_hydrapple	with_hydrapple
conserva_piezas_sin_salida	keep_pieces_with_no_way_out
copia_ya_en_mano	copy_already_in_hand
cortar_linea_alakazam	cut_the_alakazam_line
desarrollo_temprano	early_development
dipplin_evo_ataca	dipplin_evo_attacks
dipplin_evolucionable	dipplin_evolvable
dipplin_ya_en_campo	dipplin_already_on_field
dipplin_ya_en_mano	dipplin_already_in_hand
dos_en_juego	two_in_play
dragapult_no_lo_baja	dragapult_does_not_play_it
energia_para_teal_dance	energy_for_teal_dance
energia_seca	dry_energy
esperar_habilidad_grand_tree	wait_for_the_grand_tree_ability
estorbo_crea_lock_iron_thorns	nuisance_creates_the_iron_thorns_lock
evo_inmediata_rush	immediate_evo_rush
evo_inmediata	immediate_evo
evolucion_este_turno	evolution_this_turn
exceso_planta_en_mano	surplus_grass_in_hand
falta_forest	forest_missing
fetch_supporter_del_mazo	fetch_supporter_from_deck
forbid_retirada_gratis_sin_ko	forbid_free_retreat_without_ko
forest_ya_en_juego	forest_already_in_play
freno_deckout_mazo_critico	deckout_brake_critical_deck
generico_mano_muy_grande	generic_very_big_hand
gust_gana_partida	gust_wins_the_game
gusteo_2_premios	gust_for_2_prizes
gusteo_defensivo	defensive_gust
gusteo_deslockea_habilidades	gust_unlocks_abilities
gusteo_ganador	winning_gust
gusteo_por_prize_rank	gust_by_prize_rank
gusteo_sin_proposito	gust_without_purpose
gusteo_vacio_cede_a_lillie	empty_gust_yields_to_lillie
habilita_cadena_evolutiva	enables_the_evolution_chain
hop_guarda_boss	hop_keeps_the_boss
hydra_cargado_sobre_boss	charged_hydra_over_boss
hydra_con_pocas_planta	hydra_with_little_grass
hydra_muerto_prefiere_meowth	dead_hydra_prefers_meowth
hydrapple_activo_ripening	active_hydrapple_ripening
hydrapple_ya_en_juego	hydrapple_already_in_play
last_ditch_no_produce	last_ditch_produces_nothing
latias_libera_basicos	latias_frees_the_basics
lillie_desarrollo	lillie_development
lillie_en_mazo_refresco	lillie_in_deck_refresh
lillie_ya_en_mano_redundante	lillie_already_in_hand_redundant
linea_alakazam_estorbo	alakazam_line_nuisance
linea_alakazam_no_promover_atacante	alakazam_line_do_not_promote_the_attacker
linea_completa	full_line
linea_desde_cero_rush	line_from_scratch_rush
linea_desde_cero	line_from_scratch
linea_doblada	doubled_line
linea_en_juego	line_in_play
linea_hydra_ya_iniciada	hydra_line_already_started
linea_mega_activa_con_lillie	mega_line_active_with_lillie
linea_mega_habilita_tapu_vs_cornerstone	mega_line_enables_tapu_vs_cornerstone
linea_mega_vs_cornerstone	mega_line_vs_cornerstone
linea_meganium_ya_iniciada	meganium_line_already_started
linea_pendiente	line_pending
linea_rival_mayor_evolucion	opponent_line_higher_evolution
linea_rival	opponent_line
lineas_incompletas	incomplete_lines
lucario_reserva	lucario_reservation
lucario_responde	lucario_answers
mano_con_energia_o_estadio	hand_with_energy_or_stadium
mano_con_item	hand_with_an_item
mano_con_pokemon_o_evo	hand_with_a_pokemon_or_evo
mano_corta	short_hand
mano_gorda_turnos_1_2	big_hand_turns_1_2
mano_rival_ya_corta	opponent_hand_already_short
meganium_muerto_prefiere_meowth	dead_meganium_prefers_meowth
meganium_ya_en_juego	meganium_already_in_play
menos_de_dos_ogerpon	fewer_than_two_ogerpon
menos_de_dos	fewer_than_two
motor_boss_vs_crustle	boss_engine_vs_crustle
motor_de_robo_turno_muerto	draw_engine_on_a_dead_turn
motor_supporter	supporter_engine
muro_inmune	immune_wall
no_barajar_ultimo_xerosic	do_not_shuffle_the_last_xerosic
no_despejar_muro_dunsparce	do_not_clear_the_dunsparce_wall
no_regalar_linea_alakazam	do_not_give_away_the_alakazam_line
objetivo_del_plan	target_of_the_plan
ogerpon_jugable_primero	ogerpon_playable_first
ogerpon_teal_habilita	ogerpon_teal_enables_it
otro_supporter_en_mazo	another_supporter_in_deck
pescar_energia_para_remate	fish_energy_for_the_finisher
piezas_alto_valor	high_value_pieces
planta_remata_syrup_storm	grass_makes_syrup_storm_lethal
preevo_ex_prioritaria	ex_preevo_takes_priority
preparar_hydra_prox_turno	prepare_hydra_for_next_turn
primer_fez	first_fez
primer_ogerpon_banca_corta	first_ogerpon_short_bench
primer_ogerpon	first_ogerpon
primer_tapu	first_tapu
primer_turno_cede_a_lillie	first_turn_yields_to_lillie
primer_turno_resto_cede_a_lillie	first_turn_rest_yields_to_lillie
primer_turno_siempre	first_turn_always
primer_turno_solo_lillie	first_turn_lillie_only
primer_turno_solo_para_lillie	first_turn_only_for_lillie
primer_turno	first_turn
prob_encontrar	probability_of_finding
reactivar_motor_meowth_vs_watchtower	revive_the_meowth_engine_vs_watchtower
redundante_con_hydrapple	redundant_with_hydrapple
reemplazar_estadio_rival	replace_the_opponent_stadium
refill_tras_ko	refill_after_a_ko
refresco_generico	generic_refresh
refresco_mano_corta	refresh_short_hand
regust_energizado	regust_the_energized_one
rematar_muro_inmune_antes_de_gustear	finish_the_immune_wall_before_gusting
remate_ganador_al_activo_tras_retirar	winning_finisher_on_the_active_after_retreating
rescate_hydra_anti_kang	hydra_rescue_anti_kangaskhan
retirada_gratis	free_retreat
rival_anti_ex	opponent_anti_ex
rush_con_bayleef	rush_with_bayleef
rush_con_dipplin	rush_with_dipplin
rush_desde_applin	rush_from_applin
rush_desde_campo_con_bayleef	rush_from_field_with_bayleef
rush_desde_campo_con_dipplin	rush_from_field_with_dipplin
rush_desde_campo	rush_from_field
rush_desde_chikorita	rush_from_chikorita
rush_desde_mano_con_bayleef	rush_from_hand_with_bayleef
rush_desde_mano_con_dipplin	rush_from_hand_with_dipplin
rush_desde_mano	rush_from_hand
sacrificio_lucario_tapu	lucario_tapu_sacrifice
salvar_dipplin_condenado_snipe	save_the_doomed_dipplin_from_the_snipe
sin_atacante_banca_cede_a_lillie	no_bench_attacker_yields_to_lillie
sin_atacante_mano_media	no_attacker_medium_hand
sin_atacante_prefiere_meowth	no_attacker_prefers_meowth
sin_atacante	no_attacker
sin_buscables	nothing_to_search_for
sin_disrupcion_ni_refresco	no_disruption_no_refresh
sin_elegibles_en_mazo	no_eligible_cards_in_deck
sin_hydrapple	no_hydrapple
sin_ko_prefiere_cuerpo_muerto	without_a_ko_prefer_the_dead_body
sin_linea_en_juego	no_line_in_play
sin_planta_en_mano	no_grass_in_hand
sin_planta_y_sin_adjunte	no_grass_and_no_attachment
sin_planta	no_grass
sin_valor	no_value
sobran_plantas	grass_to_spare
suelo_linea_mega	mega_line_floor
supporter_ya_jugado	supporter_already_played
t1_primeros_necesita_basico	t1_going_first_needs_a_basic
t1_saliendo_primeros_no	t1_going_first_no
t1_saliendo_primeros	t1_going_first
t1_saliendo_segundos	t1_going_second
t1_segundos_copia_redundante	t1_second_redundant_copy
t1_segundos_crustle_estadio_antes_de_lillie	t1_second_crustle_stadium_before_lillie
t1_segundos_necesita_ogerpon	t1_second_needs_ogerpon
t1_segundos_reemplaza_estadio	t1_second_replaces_the_stadium
t1_segundos_sin_estadio_rival	t1_second_no_opponent_stadium
tapu_ya_en_campo	tapu_already_on_field
tercer_ogerpon_para_syrup	third_ogerpon_for_syrup
tope_si_pokepad_jugable	cap_if_pokepad_playable
traba_neta	net_stuck
traba_sin_ko	stuck_without_ko
tras_ko	after_a_ko
turno_temprano	early_turn
ultra_ball_completa_linea	ultra_ball_completes_the_line
un_meowth_y_activo_ataca	one_meowth_and_the_active_attacks
valor_del_supporter	supporter_value
vamos_perdiendo_premios	we_are_losing_on_prizes
veto_duro	hard_veto
vs_dragapult_con_lillie	vs_dragapult_with_lillie
vs_muro_anti_ex	vs_the_anti_ex_wall
watchtower_anula_habilidad	watchtower_cancels_the_ability
ya_dos_meowth_en_juego	already_two_meowth_in_play
ya_dos_ogerpon	already_two_ogerpon
ya_en_juego	already_in_play
develop_unico_pokemon	develop_the_only_pokemon
forbid_dwebble_vs_crustle	forbid_dwebble_vs_crustle
